day,locked,unlocked,recycled,totalLocked,lockTarget,emission,emissionToPrevLockPct,emissionToPrevActualLockPct,buffer,growthFactor,emergency
1,0,0,0,10000000,0,10000,,,0,1.000000,0
2,0,0,0,10000000,0,10000,,,0,1.000000,0
3,0,0,0,10000000,0,10000,,,0,1.000000,0
4,30000,0,0,10030000,20700,12000,53.33,,0,1.004500,0
5,30000,0,0,10060000,12678,13338,96.78,44.46,0,1.009347,0
6,30000,0,0,10090000,16754,16006,87.89,53.35,0,1.012954,0
7,30000,0,0,10120000,19810,19207,89.19,64.02,0,1.015633,0
8,60000,10000,300,10170000,27600,23048,76.82,76.82,300,1.021571,0
9,60000,10000,300,10220000,36500,27658,69.71,46.09,598,1.025932,0
10,60000,10000,300,10270000,41865,33190,72.93,55.31,895,1.029138,0
11,60000,10000,300,10320000,45889,39828,79.84,66.38,1191,1.031484,0
12,60000,10000,300,10370000,48906,47794,89.9,79.65,1485,1.033189,0
13,60000,10000,300,10420000,51170,51687,92.93,86.14,1777,1.034415,0
14,60000,10000,300,10470000,52867,53382,92.89,88.97,2068,1.035284,0
15,60000,10000,300,10520000,54140,54603,92.78,91,2358,1.035888,0
16,60000,10000,300,10570000,55095,55513,92.69,92.52,2646,1.036294,0
17,60000,10000,300,10620000,55200,55581,92.63,92.63,2933,1.036552,0
18,60000,10000,300,10670000,55200,55550,92.58,92.58,3218,1.036701,0
19,60000,10000,300,10720000,55200,55522,92.53,92.53,3502,1.036769,0
20,60000,10000,300,10770000,55200,55497,92.49,92.49,3785,1.036777,0
21,60000,10000,300,10820000,55200,55474,92.45,92.45,4066,1.036739,0
22,60000,10000,300,10870000,55200,55454,92.42,92.42,4345,1.036669,0
23,60000,10000,300,10920000,55200,55435,92.39,92.39,4624,1.036575,0
24,60000,10000,300,10970000,55200,55418,92.36,92.36,4901,1.036463,0
25,60000,10000,300,11020000,55200,55403,92.33,92.33,5176,1.036339,0
26,60000,10000,300,11070000,55200,55389,92.31,92.31,5450,1.036205,0
27,60000,10000,300,11120000,55200,55376,92.29,92.29,5723,1.036064,0
28,60000,10000,300,11170000,55200,55364,92.27,92.27,5994,1.035919,0
29,60000,10000,300,11220000,55200,55352,92.25,92.25,6264,1.035772,0
30,60000,10000,300,11270000,55200,55342,92.23,92.23,6533,1.035622,0
