day,locked,unlocked,recycled,totalLocked,lockTarget,emission,emissionToPrevLockPct,buffer,growthFactor,emergency
1,25000,140000,20000,9885000,17250,1000000,5333.33,20000,0.946094,0
2,25000,140000,20000,9770000,17250,1000000,5333.33,39600,0.886389,0
3,25000,140000,20000,9655000,23000,1000000,4000,58808,0.840222,0
4,25000,140000,20000,9540000,23000,1000000,4000,77631,0.804296,0
5,25000,140000,20000,9425000,23000,1000000,4000,96079,0.776112,0
6,25000,140000,20000,9310000,23000,1000000,4000,114157,0.753775,0
7,25000,140000,20000,9195000,23000,1000000,4000,131874,0.735848,0
8,25000,140000,20000,9080000,23000,1000000,4000,149236,0.721241,0
9,25000,140000,20000,8965000,23000,1000000,4000,166252,0.709125,0
10,25000,140000,20000,8850000,23000,1000000,4000,182927,0.700000,0
11,25000,140000,20000,8735000,23000,1000000,4000,199268,0.700000,0
12,25000,140000,20000,8620000,23000,1000000,4000,215283,0.700000,0
13,25000,140000,20000,8505000,23000,1000000,4000,230977,0.700000,0
14,25000,140000,20000,8390000,23000,1000000,4000,246358,0.700000,0
15,25000,140000,20000,8275000,23000,553633,2214.53,261430,0.700000,1
16,25000,140000,20000,8160000,23000,554016,2216.06,276202,0.700000,1
17,25000,140000,20000,8045000,23000,664819,2659.27,290678,0.700000,0
18,25000,140000,20000,7930000,23000,797783,3191.13,304864,0.700000,0
19,25000,140000,20000,7815000,23000,951600,3806.4,318767,0.700000,0
20,25000,140000,20000,7700000,23000,937800,3751.2,332392,0.700000,0
21,25000,140000,20000,7585000,23000,924000,3696,345744,0.700000,0
22,25000,140000,20000,7470000,23000,910200,3640.8,358829,0.700000,0
23,25000,140000,20000,7355000,23000,896400,3585.6,371652,0.700000,0
24,25000,140000,20000,7240000,23000,882600,3530.4,384219,0.700000,0
25,25000,140000,20000,7125000,23000,868800,3475.2,396535,0.700000,0
26,25000,140000,20000,7010000,23000,855000,3420,408604,0.700000,0
27,25000,140000,20000,6895000,23000,841200,3364.8,420432,0.700000,0
28,25000,140000,20000,6780000,23000,827400,3309.6,432023,0.700000,0
29,25000,140000,20000,6665000,23000,813600,3254.4,443383,0.700000,0
30,25000,140000,20000,6550000,23000,799800,3199.2,454515,0.700000,0
