day,locked,unlocked,recycled,totalLocked,lockTarget,emission,emissionToPrevLockPct,buffer,growthFactor,emergency
1,40000,120000,6000,9920000,27600,29870,99.56,6000,0.988000,0
2,40000,120000,6000,9840000,27600,29930,99.76,11880,0.974798,0
3,40000,120000,6000,9760000,36800,35917,89.79,17642,0.964685,0
4,40000,120000,6000,9680000,36800,39085,97.71,23289,0.956903,0
5,40000,120000,6000,9600000,36800,39159,97.89,28823,0.950881,0
6,40000,120000,6000,9520000,36800,39235,98.08,34247,0.946187,0
7,40000,120000,6000,9440000,36800,39312,98.28,39562,0.942495,0
8,40000,120000,6000,9360000,36800,39389,98.47,44771,0.939556,0
9,40000,120000,6000,9280000,36800,39465,98.66,49875,0.937186,0
10,40000,120000,6000,9200000,36800,39541,98.85,54878,0.935242,0
11,40000,120000,6000,9120000,36800,39615,99.03,59780,0.933618,0
12,40000,120000,6000,9040000,36800,39688,99.22,64584,0.932233,0
13,40000,120000,6000,8960000,36800,39760,99.4,69293,0.931026,0
14,40000,120000,6000,8880000,36800,39830,99.57,73907,0.929950,0
15,40000,120000,6000,8800000,36800,39741,99.35,78429,0.928971,0
16,40000,120000,6000,8720000,36800,39674,99.18,82860,0.928062,0
17,40000,120000,6000,8640000,36800,39623,99.05,87203,0.927203,0
18,40000,120000,6000,8560000,36800,39586,98.96,91459,0.926378,0
19,40000,120000,6000,8480000,36800,39561,98.9,95630,0.925576,0
20,40000,120000,6000,8400000,36800,39545,98.86,99717,0.924788,0
21,40000,120000,6000,8320000,36800,39536,98.84,103723,0.924006,0
22,40000,120000,6000,8240000,36800,39535,98.83,107648,0.923226,0
23,40000,120000,6000,8160000,36800,39538,98.84,111495,0.922443,0
24,40000,120000,6000,8080000,36800,39547,98.86,115265,0.921654,0
25,40000,120000,6000,8000000,36800,39559,98.89,118960,0.920857,0
26,40000,120000,6000,7920000,36800,39575,98.93,122581,0.920049,0
27,40000,120000,6000,7840000,36800,39594,98.98,126129,0.919229,0
28,40000,120000,6000,7760000,36800,39615,99.03,129607,0.918395,0
29,40000,120000,6000,7680000,36800,39638,99.09,133015,0.917547,0
30,40000,120000,6000,7600000,36800,39662,99.15,136354,0.916683,0
