day,locked,unlocked,recycled,totalLocked,lockTarget,emission,emissionToPrevLockPct,buffer,growthFactor,emergency
1,150000,50000,2000,10100000,103500,104329,92.73,2000,1.015000,0
2,150000,50000,2000,10200000,103500,104444,92.83,3960,1.030941,0
3,150000,50000,2000,10300000,138000,125333,83.55,5880,1.042586,0
4,150000,50000,2000,10400000,138000,138450,92.3,7763,1.051047,0
5,150000,50000,2000,10500000,138000,138536,92.35,9607,1.057148,0
6,150000,50000,2000,10600000,138000,138616,92.41,11415,1.061500,0
7,150000,50000,2000,10700000,138000,138692,92.46,13187,1.064558,0
8,150000,50000,2000,10800000,138000,138764,92.5,14923,1.066658,0
9,150000,50000,2000,10900000,138000,138834,92.55,16625,1.068049,0
10,150000,50000,2000,11000000,138000,138901,92.6,18292,1.068917,0
11,150000,50000,2000,11100000,138000,138966,92.64,19926,1.069400,0
12,150000,50000,2000,11200000,138000,139030,92.68,21528,1.069599,0
13,150000,50000,2000,11300000,138000,139093,92.72,23097,1.069590,0
14,150000,50000,2000,11400000,138000,139154,92.76,24635,1.069430,0
15,150000,50000,2000,11500000,138000,138982,92.65,26143,1.069159,0
16,150000,50000,2000,11600000,138000,138835,92.55,27620,1.068810,0
17,150000,50000,2000,11700000,138000,138708,92.47,29067,1.068404,0
18,150000,50000,2000,11800000,138000,138598,92.39,30486,1.067958,0
19,150000,50000,2000,11900000,138000,138501,92.33,31876,1.067486,0
20,150000,50000,2000,12000000,138000,138416,92.27,33239,1.066996,0
21,150000,50000,2000,12100000,138000,138342,92.22,34574,1.066495,0
22,150000,50000,2000,12200000,138000,138276,92.18,35882,1.065988,0
23,150000,50000,2000,12300000,138000,138218,92.14,37165,1.065479,0
24,150000,50000,2000,12400000,138000,138166,92.11,38421,1.064970,0
25,150000,50000,2000,12500000,138000,138120,92.08,39653,1.064464,0
26,150000,50000,2000,12600000,138000,138079,92.05,40860,1.063961,0
27,150000,50000,2000,12700000,138000,138042,92.02,42043,1.063463,0
28,150000,50000,2000,12800000,138000,138009,92,43202,1.062970,0
29,150000,50000,2000,12900000,138000,137979,91.98,44338,1.062484,0
30,150000,50000,2000,13000000,138000,137953,91.96,45451,1.062004,0
