day,locked,unlocked,recycled,totalLocked,lockTarget,emission,emissionToPrevLockPct,buffer,growthFactor,emergency
1,0,0,0,10000000,0,1000000,,0,1.000000,0
2,0,0,0,10000000,0,1000000,,0,1.000000,0
3,0,0,0,10000000,0,1000000,,0,1.000000,0
4,30000,0,0,10030000,20700,1000000,4444.44,0,1.004500,0
5,30000,0,0,10060000,20700,1003000,4457.77,0,1.009347,0
6,30000,0,0,10090000,27600,1006000,3353.33,0,1.012954,0
7,30000,0,0,10120000,27600,1009000,3363.33,0,1.015633,0
8,60000,10000,300,10170000,27600,1012000,3373.33,300,1.021571,0
9,60000,10000,300,10220000,55200,1017000,1695,594,1.025932,0
10,60000,10000,300,10270000,55200,1022000,1703.33,882,1.029138,0
11,60000,10000,300,10320000,55200,1027000,1711.66,1164,1.031484,0
12,60000,10000,300,10370000,55200,1032000,1720,1441,1.033189,0
13,60000,10000,300,10420000,55200,1037000,1728.33,1712,1.034415,0
14,60000,10000,300,10470000,55200,1042000,1736.66,1978,1.035284,0
15,60000,10000,300,10520000,55200,1047000,1745,2238,1.035888,0
16,60000,10000,300,10570000,55200,1052000,1753.33,2493,1.036294,0
17,60000,10000,300,10620000,55200,1057000,1761.66,2743,1.036552,0
18,60000,10000,300,10670000,55200,1062000,1770,2989,1.036701,0
19,60000,10000,300,10720000,55200,1067000,1778.33,3229,1.036769,0
20,60000,10000,300,10770000,55200,1072000,1786.66,3464,1.036777,0
21,60000,10000,300,10820000,55200,1077000,1795,3695,1.036739,0
22,60000,10000,300,10870000,55200,1082000,1803.33,3921,1.036669,0
23,60000,10000,300,10920000,55200,1087000,1811.66,4143,1.036575,0
24,60000,10000,300,10970000,55200,1092000,1820,4360,1.036463,0
25,60000,10000,300,11020000,55200,1097000,1828.33,4572,1.036339,0
26,60000,10000,300,11070000,55200,1102000,1836.66,4781,1.036205,0
27,60000,10000,300,11120000,55200,1107000,1845,4985,1.036064,0
28,60000,10000,300,11170000,55200,1112000,1853.33,5186,1.035919,0
29,60000,10000,300,11220000,55200,1117000,1861.66,5382,1.035772,0
30,60000,10000,300,11270000,55200,1122000,1870,5574,1.035622,0
