day,locked,unlocked,recycled,totalLocked,lockTarget,emission,emissionToPrevLockPct,buffer,growthFactor,emergency
1,40000,120000,6000,9920000,27600,1000000,3333.33,6000,0.988000,0
2,40000,120000,6000,9840000,27600,992000,3306.66,11880,0.974798,0
3,40000,120000,6000,9760000,36800,984000,2460,17642,0.964685,0
4,40000,120000,6000,9680000,36800,976000,2440,23289,0.956903,0
5,40000,120000,6000,9600000,36800,968000,2420,28823,0.950881,0
6,40000,120000,6000,9520000,36800,960000,2400,34247,0.946187,0
7,40000,120000,6000,9440000,36800,952000,2380,39562,0.942495,0
8,40000,120000,6000,9360000,36800,944000,2360,44771,0.939556,0
9,40000,120000,6000,9280000,36800,936000,2340,49875,0.937186,0
10,40000,120000,6000,9200000,36800,928000,2320,54878,0.935242,0
11,40000,120000,6000,9120000,36800,920000,2300,59780,0.933618,0
12,40000,120000,6000,9040000,36800,912000,2280,64584,0.932233,0
13,40000,120000,6000,8960000,36800,904000,2260,69293,0.931026,0
14,40000,120000,6000,8880000,36800,896000,2240,73907,0.929950,0
15,40000,120000,6000,8800000,36800,888000,2220,78429,0.928971,0
16,40000,120000,6000,8720000,36800,880000,2200,82860,0.928062,0
17,40000,120000,6000,8640000,36800,872000,2180,87203,0.927203,0
18,40000,120000,6000,8560000,36800,864000,2160,91459,0.926378,0
19,40000,120000,6000,8480000,36800,856000,2140,95630,0.925576,0
20,40000,120000,6000,8400000,36800,848000,2120,99717,0.924788,0
21,40000,120000,6000,8320000,36800,840000,2100,103723,0.924006,0
22,40000,120000,6000,8240000,36800,832000,2080,107648,0.923226,0
23,40000,120000,6000,8160000,36800,824000,2060,111495,0.922443,0
24,40000,120000,6000,8080000,36800,816000,2040,115265,0.921654,0
25,40000,120000,6000,8000000,36800,808000,2020,118960,0.920857,0
26,40000,120000,6000,7920000,36800,800000,2000,122581,0.920049,0
27,40000,120000,6000,7840000,36800,792000,1980,126129,0.919229,0
28,40000,120000,6000,7760000,36800,784000,1960,129607,0.918395,0
29,40000,120000,6000,7680000,36800,776000,1940,133015,0.917547,0
30,40000,120000,6000,7600000,36800,768000,1920,136354,0.916683,0
