day,locked,unlocked,recycled,totalLocked,lockTarget,emission,emissionToPrevLockPct,buffer,growthFactor,emergency
1,4000000,10000,0,13990000,2760000,1000000,33.33,0,1.300000,0
2,60000,30000,1000,14020000,2760000,1200000,40,1000,1.300000,0
3,60000,30000,1000,14050000,55200,1402000,2336.66,1980,1.247615,0
4,60000,30000,1000,14080000,55200,1405000,2341.66,2940,1.189585,0
5,60000,30000,1000,14110000,55200,1408000,2346.66,3881,1.146147,0
6,60000,30000,1000,14140000,55200,1411000,2351.66,4803,1.113630,0
7,60000,30000,1000,14170000,55200,1414000,2356.66,5707,1.089285,0
8,60000,30000,1000,14200000,55200,1417000,2361.66,6593,1.071056,0
9,60000,30000,1000,14230000,55200,1420000,2366.66,7461,1.057405,0
10,60000,30000,1000,14260000,55200,1423000,2371.66,8312,1.047179,0
11,60000,30000,1000,14290000,55200,1426000,2376.66,9146,1.039518,0
12,60000,30000,1000,14320000,55200,1429000,2381.66,9963,1.033775,0
13,60000,30000,1000,14350000,55200,1432000,2386.66,10764,1.029468,0
14,60000,30000,1000,14380000,55200,1435000,2391.66,11548,1.026236,0
15,60000,30000,1000,14410000,55200,1438000,2396.66,12317,1.023808,0
16,60000,30000,1000,14440000,55200,1441000,2401.66,13071,1.021983,0
17,60000,30000,1000,14470000,55200,1444000,2406.66,13810,1.020608,0
18,60000,30000,1000,14500000,55200,1447000,2411.66,14533,1.019570,0
19,60000,30000,1000,14530000,55200,1450000,2416.66,15243,1.018785,0
20,60000,30000,1000,14560000,55200,1453000,2421.66,15938,1.018189,0
21,60000,30000,1000,14590000,55200,1456000,2426.66,16619,1.017735,0
22,60000,30000,1000,14620000,55200,1459000,2431.66,17287,1.017386,0
23,60000,30000,1000,14650000,55200,1462000,2436.66,17941,1.017117,0
24,60000,30000,1000,14680000,55200,1465000,2441.66,18582,1.016907,0
25,60000,30000,1000,14710000,55200,1468000,2446.66,19210,1.016741,0
26,60000,30000,1000,14740000,55200,1471000,2451.66,19826,1.016609,0
27,60000,30000,1000,14770000,55200,1474000,2456.66,20430,1.016502,0
28,60000,30000,1000,14800000,55200,1477000,2461.66,21021,1.016414,0
29,60000,30000,1000,14830000,55200,1480000,2466.66,21601,1.016339,0
30,60000,30000,1000,14860000,55200,1483000,2471.66,22169,1.016276,0
