day,locked,unlocked,recycled,totalLocked,lockTarget,emission,emissionToPrevLockPct,buffer,growthFactor,emergency
1,150000,50000,2000,10100000,103500,1000000,888.88,2000,1.015000,0
2,150000,50000,2000,10200000,103500,1010000,897.77,3960,1.030941,0
3,150000,50000,2000,10300000,138000,1020000,680,5880,1.042586,0
4,150000,50000,2000,10400000,138000,1030000,686.66,7763,1.051047,0
5,150000,50000,2000,10500000,138000,1040000,693.33,9607,1.057148,0
6,150000,50000,2000,10600000,138000,1050000,700,11415,1.061500,0
7,150000,50000,2000,10700000,138000,1060000,706.66,13187,1.064558,0
8,150000,50000,2000,10800000,138000,1070000,713.33,14923,1.066658,0
9,150000,50000,2000,10900000,138000,1080000,720,16625,1.068049,0
10,150000,50000,2000,11000000,138000,1090000,726.66,18292,1.068917,0
11,150000,50000,2000,11100000,138000,1100000,733.33,19926,1.069400,0
12,150000,50000,2000,11200000,138000,1110000,740,21528,1.069599,0
13,150000,50000,2000,11300000,138000,1120000,746.66,23097,1.069590,0
14,150000,50000,2000,11400000,138000,1130000,753.33,24635,1.069430,0
15,150000,50000,2000,11500000,138000,1140000,760,26143,1.069159,0
16,150000,50000,2000,11600000,138000,1150000,766.66,27620,1.068810,0
17,150000,50000,2000,11700000,138000,1160000,773.33,29067,1.068404,0
18,150000,50000,2000,11800000,138000,1170000,780,30486,1.067958,0
19,150000,50000,2000,11900000,138000,1180000,786.66,31876,1.067486,0
20,150000,50000,2000,12000000,138000,1190000,793.33,33239,1.066996,0
21,150000,50000,2000,12100000,138000,1200000,800,34574,1.066495,0
22,150000,50000,2000,12200000,138000,1210000,806.66,35882,1.065988,0
23,150000,50000,2000,12300000,138000,1220000,813.33,37165,1.065479,0
24,150000,50000,2000,12400000,138000,1230000,820,38421,1.064970,0
25,150000,50000,2000,12500000,138000,1240000,826.66,39653,1.064464,0
26,150000,50000,2000,12600000,138000,1250000,833.33,40860,1.063961,0
27,150000,50000,2000,12700000,138000,1260000,840,42043,1.063463,0
28,150000,50000,2000,12800000,138000,1270000,846.66,43202,1.062970,0
29,150000,50000,2000,12900000,138000,1280000,853.33,44338,1.062484,0
30,150000,50000,2000,13000000,138000,1290000,860,45451,1.062004,0
