day,locked,unlocked,recycled,totalLocked,lockTarget,emission,emissionToPrevLockPct,emissionToPrevActualLockPct,buffer,growthFactor,emergency
1,150000,50000,2000,10100000,103500,103707,92.18,,2000,1.015000,0
2,150000,50000,2000,10200000,72450,72871,92.53,48.58,3960,1.030941,0
3,150000,50000,2000,10300000,95737,87445,84.03,58.29,5880,1.042586,0
4,150000,50000,2000,10400000,113203,104934,85.28,69.95,7763,1.051047,0
5,150000,50000,2000,10500000,126302,125921,91.72,83.94,9607,1.057148,0
6,150000,50000,2000,10600000,136126,136434,92.2,90.95,11415,1.061500,0
7,150000,50000,2000,10700000,138000,138344,92.22,92.22,13187,1.064558,0
8,150000,50000,2000,10800000,138000,138388,92.25,92.25,14923,1.066658,0
9,150000,50000,2000,10900000,138000,138432,92.28,92.28,16625,1.068049,0
10,150000,50000,2000,11000000,138000,138474,92.31,92.31,18292,1.068917,0
11,150000,50000,2000,11100000,138000,138516,92.34,92.34,19926,1.069400,0
12,150000,50000,2000,11200000,138000,138556,92.37,92.37,21528,1.069599,0
13,150000,50000,2000,11300000,138000,138596,92.39,92.39,23097,1.069590,0
14,150000,50000,2000,11400000,138000,138635,92.42,92.42,24635,1.069430,0
15,150000,50000,2000,11500000,138000,138615,92.41,92.41,26143,1.069159,0
16,150000,50000,2000,11600000,138000,138601,92.4,92.4,27620,1.068810,0
17,150000,50000,2000,11700000,138000,138591,92.39,92.39,29067,1.068404,0
18,150000,50000,2000,11800000,138000,138585,92.39,92.39,30486,1.067958,0
19,150000,50000,2000,11900000,138000,138582,92.38,92.38,31876,1.067486,0
20,150000,50000,2000,12000000,138000,138582,92.38,92.38,33239,1.066996,0
21,150000,50000,2000,12100000,138000,138584,92.38,92.38,34574,1.066495,0
22,150000,50000,2000,12200000,138000,138587,92.39,92.39,35882,1.065988,0
23,150000,50000,2000,12300000,138000,138592,92.39,92.39,37165,1.065479,0
24,150000,50000,2000,12400000,138000,138599,92.39,92.39,38421,1.064970,0
25,150000,50000,2000,12500000,138000,138606,92.4,92.4,39653,1.064464,0
26,150000,50000,2000,12600000,138000,138614,92.4,92.4,40860,1.063961,0
27,150000,50000,2000,12700000,138000,138623,92.41,92.41,42043,1.063463,0
28,150000,50000,2000,12800000,138000,138632,92.42,92.42,43202,1.062970,0
29,150000,50000,2000,12900000,138000,138643,92.42,92.42,44338,1.062484,0
30,150000,50000,2000,13000000,138000,138653,92.43,92.43,45451,1.062004,0
